Number of Misclassified Slices,Number of All Slices
54,74
106,161
106,239
106,262
106,276
106,284
107,294
108,302
117,355
117,439
117,451
117,490
117,511
117,535
137,555
137,566
137,624
176,688
177,709
177,727
194,745
194,755
196,776
199,833
199,901
199,969
199,1056
199,1068
201,1085
201,1154
231,1184
277,1238
277,1332
277,1379
277,1393
277,1406
277,1484
277,1557
289,1629
297,1693
297,1705
352,1760
352,1779
368,1796
368,1863
368,1931
368,1997
371,2004
371,2082
403,2157
403,2227
403,2299
419,2315
441,2382
441,2403
449,2463
457,2474
457,2484
457,2530
513,2587
542,2616
542,2674
542,2757
577,2832
577,2973
632,3028
642,3097
646,3145
650,3229
662,3241
662,3264
662,3287
662,3305
662,3374
662,3455
676,3469
676,3538
689,3593
689,3604
717,3644
717,3731
717,3796
717,3817
717,3859
717,3908
720,3918
720,3983
726,4052
726,4064
741,4111
743,4169
834,4268
834,4325
834,4393
834,4413
843,4422
843,4491
862,4510
862,4574
867,4678
907,4763
942,4827
942,4850
966,4901
966,4914
995,4978
1008,4991
1009,5000
1012,5010
1012,5074
1012,5113
1012,5157
1024,5230
1024,5245
1024,5258
1024,5266
1039,5335
1039,5347
1039,5361
1049,5441
1053,5461
1068,5476
1068,5535
1083,5608
1100,5659
1100,5730
1100,5799
1100,5819
1105,5896
1105,5912
1105,5933
1105,6004
1129,6030
1129,6111
1129,6178
1129,6237
1129,6315
1129,6328
1129,6399
1185,6473
1185,6485
1185,6557
1276,6648
1276,6721
1276,6731
1278,6744
1278,6801
1278,6824
1300,6891
1300,6906
1303,6981
1343,7028
1343,7115
1343,7136
1343,7203
1353,7213
1374,7265
1392,7336
1397,7416
1397,7480
1412,7560
1412,7623
1412,7635
1412,7646
1412,7669
1412,7757
1412,7773
1412,7860
1412,7871
1427,7930
1427,7943
1429,7958
1485,8014
1485,8087
1508,8143
1512,8234
1519,8322
1519,8338
1586,8406
1586,8473
